youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
80VjldcM-bw,"""Dime, ¿tú eres lesbiana?"" | Me enamoré de la villana (Doblaje castellano)",false,49,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
mjxdk41T-oc,"¡En la cima de la cadena alimenticia! 😎 | Rent-A-Girlfriend (doblaje latino)",false,1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
SVA4imNOw0Q,"Parece una PESADILLA 👀 | Solo Leveling (Doblaje castellano)",false,2,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
G1tjVj7LAw4,"De hecho 🤓☝ los videojuegos pueden ser útiles | Dr.  STONE NEW WORLD (Doblaje castellano)",false,67,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
zrEV-pi7aQ0,"¿MOB TIENE NOVIA? | Mob Psycho 100 II (Doblaje castellano)",false,13,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
PdfTYaqTpxg,"La pesadilla del primer día de clases | Skip and Loafer (doblaje latino)",false,-1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
yYksGSSNG-Y,"¡Mamá Yor al rescate! 💥 | SPY x FAMILY (Doblaje castellano)",false,43,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
RKEWCTMb8Bc,"Soy una persona sencilla, veo a Chizuru en la portada y doy click 😌 | Rent-a-Girlfriend Temporada 3",false,1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
-W1oGzXOBzY,"Puedo actuar como una hermana mayor | My Tiny Senpai (doblaje latino)",false,128,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
i75fLLVzYa0,"Cuidadito con Kobeni 🔪 | Chainsaw Man (Doblaje castellano)",false,58,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
aZ8AG6fHMgA,"Este es el RENACER 🔥⚽ | BLUE LOCK (Doblaje castellano)",false,53,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
4bcrNWB6Buk,"¡CACHETADAS DE TELENOVELA! 🔥 | Masamune-kun's Revenge R (doblaje latino)",false,21,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
VWN22NZ304o,"Y que no me digan en la esquina...¡el venao, el venao! | Rent-a-Girlfriend Temporada 3",false,1,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
LeGyhTW2304,"El sacrificio de Himeno | Chainsaw Man (Doblaje castellano)",false,58,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
uexbWf6dpNw,"Anya gana 😏🎉 | SPY x FAMILY Temporada 2 (Doblaje castellano)",false,43,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
8kvsfw0cVQ4,"¡Tuya, mía, te la presto... ACARÍCIALA! | TONIKAWA: Over The Moon For You Season 2 (doblaje latino)",false,30,"Crunchyroll in Spanish",@CrunchyrollenEspañol,es
