youtube_id,title,is_premium,serie_id,channel_name,channel_handle,language
xZrvF7erWS4,"""Please Don't Leave Me"" | Toilet-bound Hanako-kun Season 2",false,169,"Crunchyroll",@crunchyroll,ja
N-uLJ8SnBXA,"Don't You Just Want to go Beast Mode? | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
mMdlogMoySg,"They Just Kicked the Guy Out of Their Love Triangle | A Couple of Cuckoos Season 2",false,69,"Crunchyroll",@crunchyroll,ja
Zx9AIyfoT9s,"Stuck in an Unskippable Cutscene | Clevatess",false,131,"Crunchyroll",@crunchyroll,ja
5KWZqdmj0kc,"Diamond is Breakable | Ruri Rocks",false,161,"Crunchyroll",@crunchyroll,ja
j9772i-QPWU,"Your Dog’s Crying and You’re Laughing | With You and the Rain",false,170,"Crunchyroll",@crunchyroll,ja
PKXLAp_WJd4,"Naofumi's Seeing Dollar Signs | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
6GmwocGtH14,"Reo Copies Nagi's Inhuman Move | BLUE LOCK",false,53,"Crunchyroll",@crunchyroll,ja
BB3CSdXBv-U,"Why Don't You Ever Visit Us During the Holidays? | My Dress-Up Darling Season 2",false,75,"Crunchyroll",@crunchyroll,ja
5L_Ek_CcREc,"Gear 5 Luffy Turns St. Saturn and Kizaru Into Pizza | ONE PIECE",false,92,"Crunchyroll",@crunchyroll,ja
aA-x8H3SLiY,"I Finally Made You Look at Me | Dealing with Mikadono Sisters Is a Breeze",false,98,"Crunchyroll",@crunchyroll,ja
kxMnHk1Pv8c,"Acting Like She Just Saw a Yacht! | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
apoK6PcaGCE,"Gear 5 Luffy Taunts St. Saturn | ONE PIECE",false,92,"Crunchyroll",@crunchyroll,ja
xTHxtnQ6wAY,"Evil Raphtalia | The Rising of the Shield Hero Season 4",false,37,"Crunchyroll",@crunchyroll,ja
